,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
302,PHL,Any Gender,IT,CXO,Any Company Size,55+,connected to big companies,0
303,PHL,Any Gender,IT,CXO,Any Company Size,55+,connected to any,780
304,PHL,Any Gender,IT,CXO,Any Company Size,35 to 54,connected to big companies,930
305,PHL,Any Gender,IT,CXO,Any Company Size,35 to 54,connected to any,3100
306,PHL,Any Gender,IT,CXO,Any Company Size,25 to 34,connected to big companies,370
307,PHL,Any Gender,IT,CXO,Any Company Size,25 to 34,connected to any,4900
308,PHL,Any Gender,IT,CXO,Any Company Size,18 to 24,connected to big companies,0
309,PHL,Any Gender,IT,CXO,Any Company Size,18 to 24,connected to any,760
310,PHL,Any Gender,IT,CXO,"10,001+ employees",Any Age Range,connected to big companies,0
311,PHL,Any Gender,IT,CXO,"10,001+ employees",Any Age Range,connected to any,990
312,PHL,Any Gender,IT,CXO,"10,001+ employees",55+,connected to big companies,0
313,PHL,Any Gender,IT,CXO,"10,001+ employees",55+,connected to any,0
314,PHL,Any Gender,IT,CXO,"10,001+ employees",35 to 54,connected to big companies,0
315,PHL,Any Gender,IT,CXO,"10,001+ employees",35 to 54,connected to any,0
316,PHL,Any Gender,IT,CXO,"10,001+ employees",25 to 34,connected to big companies,0
317,PHL,Any Gender,IT,CXO,"10,001+ employees",25 to 34,connected to any,550
318,PHL,Any Gender,IT,CXO,"10,001+ employees",18 to 24,connected to big companies,0
319,PHL,Any Gender,IT,CXO,"10,001+ employees",18 to 24,connected to any,0
320,PHL,Any Gender,IT,CXO,"5001-10,000 employees",Any Age Range,connected to big companies,0
321,PHL,Any Gender,IT,CXO,"5001-10,000 employees",Any Age Range,connected to any,0
322,PHL,Any Gender,IT,CXO,"5001-10,000 employees",55+,connected to big companies,0
323,PHL,Any Gender,IT,CXO,"5001-10,000 employees",55+,connected to any,0
324,PHL,Any Gender,IT,CXO,"5001-10,000 employees",35 to 54,connected to big companies,0
