,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
282,VNM,Any Gender,Any Company Industry,35 to 54,Manager,"5001-10,000 employees",1500
283,VNM,Any Gender,Any Company Industry,35 to 54,Manager,1001-5000 employees,3100
284,VNM,Any Gender,Any Company Industry,35 to 54,Manager,501-1000 employees,1600
285,VNM,Any Gender,Any Company Industry,35 to 54,Manager,201-500 employees,1600
286,VNM,Any Gender,Any Company Industry,35 to 54,Manager,51-200 employees,2100
287,VNM,Any Gender,Any Company Industry,35 to 54,Manager,11-50 employees,1800
288,VNM,Any Gender,Any Company Industry,35 to 54,Manager,2-10 employees,990
289,VNM,Any Gender,Any Company Industry,35 to 54,Manager,Myself Only,0
290,VNM,Any Gender,Any Company Industry,35 to 54,Senior,Any Company Size,53000
291,VNM,Any Gender,Any Company Industry,35 to 54,Senior,"10,001+ employees",9400
292,VNM,Any Gender,Any Company Industry,35 to 54,Senior,"5001-10,000 employees",2500
293,VNM,Any Gender,Any Company Industry,35 to 54,Senior,1001-5000 employees,5500
294,VNM,Any Gender,Any Company Industry,35 to 54,Senior,501-1000 employees,3100
295,VNM,Any Gender,Any Company Industry,35 to 54,Senior,201-500 employees,3400
296,VNM,Any Gender,Any Company Industry,35 to 54,Senior,51-200 employees,4300
297,VNM,Any Gender,Any Company Industry,35 to 54,Senior,11-50 employees,3400
298,VNM,Any Gender,Any Company Industry,35 to 54,Senior,2-10 employees,1800
299,VNM,Any Gender,Any Company Industry,35 to 54,Senior,Myself Only,320
300,VNM,Any Gender,Any Company Industry,35 to 54,Entry,Any Company Size,47000
301,VNM,Any Gender,Any Company Industry,35 to 54,Entry,"10,001+ employees",6100
302,VNM,Any Gender,Any Company Industry,35 to 54,Entry,"5001-10,000 employees",1700
303,VNM,Any Gender,Any Company Industry,35 to 54,Entry,1001-5000 employees,3300
304,VNM,Any Gender,Any Company Industry,35 to 54,Entry,501-1000 employees,2000
305,VNM,Any Gender,Any Company Industry,35 to 54,Entry,201-500 employees,2400
306,VNM,Any Gender,Any Company Industry,35 to 54,Entry,51-200 employees,3100
307,VNM,Any Gender,Any Company Industry,35 to 54,Entry,11-50 employees,3100
308,VNM,Any Gender,Any Company Industry,35 to 54,Entry,2-10 employees,2000
309,VNM,Any Gender,Any Company Industry,35 to 54,Entry,Myself Only,440
310,VNM,Any Gender,Any Company Industry,35 to 54,Training,Any Company Size,1300
311,VNM,Any Gender,Any Company Industry,35 to 54,Training,"10,001+ employees",0
312,VNM,Any Gender,Any Company Industry,35 to 54,Training,"5001-10,000 employees",0
313,VNM,Any Gender,Any Company Industry,35 to 54,Training,1001-5000 employees,0
314,VNM,Any Gender,Any Company Industry,35 to 54,Training,501-1000 employees,0
315,VNM,Any Gender,Any Company Industry,35 to 54,Training,201-500 employees,0
316,VNM,Any Gender,Any Company Industry,35 to 54,Training,51-200 employees,0
317,VNM,Any Gender,Any Company Industry,35 to 54,Training,11-50 employees,0
318,VNM,Any Gender,Any Company Industry,35 to 54,Training,2-10 employees,0
319,VNM,Any Gender,Any Company Industry,35 to 54,Training,Myself Only,0
